ten_mon,loai_mon,nguyen_lieu,dinh_luong,thoi_gian
Phở bò,Món chính,Xương bò | Bánh phở | Hành | Gừng | Quế | Hoa hồi | Thịt bò | Ngò gai | Giá đỗ,1kg | 500g | 3 củ | 1 nhánh | 2 thanh | 5 cái | 300g | 50g | 100g,180
Bánh mì thịt nguội,Khai vị,Bánh mì | Thịt nguội | Pate | Dưa cải | Hành | Rau mùi | Tương ớt,1 ổ | 100g | 30g | 50g | 20g | 10g | 15g,10
Chè đậu xanh,Tráng miệng,Đậu xanh | Đường | Nước cốt dừa | Lá dứa,200g | 100g | 100ml | 2 lá,45
Cơm chiên dương châu,Món chính,Cơm nguội | Trứng gà | Cà rốt | Đậu hà lan | Xúc xích | Hành lá | Dầu ăn | Muối | Tiêu,500g | 2 quả | 1 củ | 50g | 2 cái | 3 nhánh | 30ml | 5g | 2g,20
Sinh tố bơ,Đồ uống,Bơ | Sữa đặc | Đá | Sữa tươi,2 quả | 3 thìa | 200g | 100ml,5
Gỏi cuốn tôm thịt,Khai vị,Bánh tráng | Tôm luộc | Thịt ba chỉ | Bún | Rau sống | Cà rốt | Dưa leo,10 cái | 200g | 150g | 100g | 100g | 1 củ | 1 quả,30
Bún bò Huế,Món chính,Xương heo | Bún | Thịt bò bắp | Chả | Mắm ruốc | Sả | Ớt | Hành tím,1kg | 500g | 300g | 100g | 30g | 3 cây | 5 trái | 50g,120
Bánh flan,Tráng miệng,Trứng gà | Sữa tươi | Sữa đặc | Đường | Vani,4 quả | 400ml | 100ml | 60g | 1 ống,60
Trà sữa trân châu,Đồ uống,Trà đen | Sữa tươi | Trân châu | Đường | Đá,10g | 200ml | 50g | 30g | 200g,15
Canh chua cá,Món chính,Cá lóc | Cà chua | Dứa | Đậu bắp | Giá đỗ | Me | Hành | Rau om | Muối | Đường,500g | 2 quả | 100g | 100g | 50g | 30g | 20g | 20g | 10g | 5g,35
Bún riêu cua,Món chính,Cua đồng | Cà chua | Đậu hũ | Bún | Hành lá | Rau muống | Mắm tôm | Dầu ăn | Muối,300g | 3 quả | 200g | 500g | 30g | 100g | 20g | 20ml | 10g,90
Bánh cuốn nhân thịt,Khai vị,Bột gạo | Thịt xay | Nấm mộc nhĩ | Hành tím | Nước mắm | Dầu ăn | Rau thơm,300g | 200g | 50g | 3 củ | 30ml | 20ml | 50g,40
Chả giò rán,Khai vị,Thịt heo xay | Miến | Cà rốt | Nấm mèo | Trứng gà | Bánh tráng | Hành tím | Tiêu,200g | 50g | 1 củ | 30g | 1 quả | 10 cái | 2 củ | 3g,45
Gà nướng mật ong,Món chính,Gà nguyên con | Mật ong | Tỏi | Gừng | Nước tương | Dầu hào | Tiêu | Muối,1.5kg | 3 thìa | 5 tép | 1 nhánh | 30ml | 20ml | 5g | 5g,70
Sườn xào chua ngọt,Món chính,Sườn non | Cà chua | Ớt chuông | Hành tây | Tỏi | Giấm | Đường | Nước tương | Dầu ăn,500g | 2 quả | 1 trái | 1 củ | 3 tép | 30ml | 20g | 20ml | 30ml,35
Cá kho tộ,Món chính,Cá basa | Nước dừa | Nước mắm | Đường | Tỏi | Ớt | Hành lá | Tiêu | Dầu ăn,500g | 200ml | 40ml | 30g | 3 tép | 2 trái | 20g | 5g | 20ml,50
Rau muống xào tỏi,Món chính,Rau muống | Tỏi | Dầu ăn | Nước mắm | Muối | Tiêu,400g | 5 tép | 30ml | 15ml | 5g | 2g,10
Đậu hũ sốt cà chua,Món chính,Đậu hũ | Cà chua | Hành tím | Tỏi | Nước mắm | Đường | Dầu ăn | Hành lá,400g | 3 quả | 2 củ | 3 tép | 20ml | 10g | 30ml | 20g,20
Nước chanh muối,Đồ uống,Chanh | Muối | Đường | Nước lọc | Đá,3 quả | 5g | 30g | 300ml | 200g,5
Cà phê sữa đá,Đồ uống,Cà phê | Sữa đặc | Đá | Nước sôi,20g | 3 thìa | 200g | 50ml,5
Chè thái,Tráng miệng,Thạch | Hạt lựu | Mít | Dừa nạo | Sữa đặc | Nước cốt dừa | Đá,50g | 30g | 50g | 30g | 3 thìa | 100ml | 200g,15
Bánh chuối hấp,Tráng miệng,Chuối | Bột năng | Nước cốt dừa | Đường | Muối | Vừng,5 quả | 100g | 200ml | 50g | 3g | 10g,30
Gỏi bắp cải,Khai vị,Bắp cải | Cà rốt | Tôm | Thịt ba chỉ | Tỏi | Ớt | Giấm | Đường | Nước mắm | Rau răm,300g | 1 củ | 100g | 100g | 3 tép | 2 trái | 30ml | 20g | 20ml | 30g,25
Súp gà nấm,Khai vị,Ức gà | Nấm đông cô | Ngô ngọt | Cà rốt | Bột bắp | Trứng gà | Hành lá | Muối | Tiêu,200g | 50g | 1 bắp | 1 củ | 20g | 1 quả | 20g | 5g | 2g,30
Sữa chua tự làm,Tráng miệng,Sữa tươi không đường | Sữa đặc | Sữa chua cái,1 lít | 100ml | 1 hộp,20
Nước ép dưa hấu,Đồ uống,Dưa hấu | Đường | Đá | Muối,1/4 quả | 10g | 200g | 1g,5
Mực xào rau củ,Món chính,Mực | Ớt chuông | Cà rốt | Hành tây | Tỏi | Dầu hào | Nước tương | Dầu ăn,300g | 1 trái | 1 củ | 1 củ | 4 tép | 20ml | 15ml | 30ml,20
Bò lúc lắc,Món chính,Thịt bò thăn | Tỏi | Hành tây | Ớt chuông | Nước tương | Dầu hào | Bơ | Tiêu | Muối,400g | 5 tép | 1 củ | 1 trái | 30ml | 20ml | 20g | 5g | 5g,25
Bánh xèo miền Tây,Khai vị,Bột gạo | Nước cốt dừa | Nghệ | Tôm | Thịt ba chỉ | Giá đỗ | Hành lá | Dầu ăn,200g | 200ml | 5g | 200g | 150g | 100g | 30g | 50ml,35
